Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs
Indiv ID:,R04109
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-1-13
Behavior Time:,02:32 PM
Ethogram:,2020 sas.csv
Coding Began:,01/13/2020 14:33:26 PM
Coding Ended:,01/13/2020 14:38:31 PM
Session duration:,00:05:05
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R04109,Sunny,,2020-1-13,1.0.37.0,Inactive,02:33:26,00:05:03.9243980,00:05:03.9243980
