Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs2020
Indiv ID:,R15051
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-3-12
Behavior Time:,11:52 AM
Ethogram:,2020 sas.csv
Coding Began:,03/12/2020 11:53:10 AM
Coding Ended:,03/12/2020 11:58:14 AM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R15051,Sunny,,2020-3-12,1.0.37.0,Tactile/explore,11:53:10,00:01:06.9403636,00:01:06.9403636
Bnp,R15051,Sunny,,2020-3-12,1.0.37.0,Inactive,11:54:17,00:01:00.9131571,00:02:07.8535207
Bnp,R15051,Sunny,,2020-3-12,1.0.37.0,Tactile/explore,11:55:18,00:00:56.7627017,00:03:04.6162224
Bnp,R15051,Sunny,,2020-3-12,1.0.37.0,Threat,11:56:14,00:00:03.2302744,00:03:07.8464968
Bnp,R15051,Sunny,,2020-3-12,1.0.37.0,Tactile/explore,11:56:18,00:00:19.5313279,00:03:27.3778247
Bnp,R15051,Sunny,,2020-3-12,1.0.37.0,Inactive,11:56:37,00:01:00.9347521,00:04:28.3125768
Bnp,R15051,Sunny,,2020-3-12,1.0.37.0,Tactile/explore,11:57:38,00:00:34.7905526,00:05:03.1031294
