Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Sass
Indiv ID:,R14102
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-11-7
Behavior Time:,11:41 AM
Ethogram:,Gen behavior .csv
Coding Began:,11/07/2018 11:42:01 AM
Coding Ended:,11/07/2018 11:47:04 AM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R14102,Sunny,,2018-11-7,1.0.37.0,Inactive,11:42:01,00:03:03.7638485,00:03:03.7638485
BNP,R14102,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:45:05,00:00:05.3450374,00:03:09.1088859
BNP,R14102,Sunny,,2018-11-7,1.0.37.0,Pacing,11:45:10,00:00:07.4504628,00:03:16.5593487
BNP,R14102,Sunny,,2018-11-7,1.0.37.0,Tactile/explore,11:45:18,00:00:10.4121171,00:03:26.9714658
BNP,R14102,Sunny,,2018-11-7,1.0.37.0,Inactive,11:45:28,00:01:34.3934713,00:05:01.3649371
