Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs2020
Indiv ID:,Rh2560
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-3-11
Behavior Time:,11:38 AM
Ethogram:,2020 sas.csv
Coding Began:,03/11/2020 11:38:41 AM
Coding Ended:,03/11/2020 11:43:43 AM
Session duration:,00:05:01
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Rh2560,Sunny,,2020-3-11,1.0.37.0,Inactive,11:38:41,00:05:00.6401620,00:05:00.6401620
