Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,R01089
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-2
Behavior Time:,10:06 AM
Ethogram:,Gen behavior .csv
Coding Began:,10/02/2018 10:08:56 AM
Coding Ended:,10/02/2018 10:13:58 AM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R01089,Sunny,,2018-10-2,1.0.37.0,Groom,10:08:56,00:05:00.8481631,00:05:00.8481631
