Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,sas
Indiv ID:,r12002
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-3-2
Behavior Time:,11:45 AM
Ethogram:,2020 sas.csv
Coding Began:,03/02/2020 11:46:09 AM
Coding Ended:,03/02/2020 11:51:14 AM
Session duration:,00:05:04
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Inactive,11:46:09,00:00:29.5145324,00:00:29.5145324
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Locomotion,11:46:39,00:00:07.2087778,00:00:36.7233102
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Inactive,11:46:46,00:01:42.3800632,00:02:19.1033734
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Locomotion,11:48:28,00:00:05.8977310,00:02:25.0011044
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Pacing,11:48:34,00:00:11.1185518,00:02:36.1196562
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Inactive,11:48:45,00:00:54.1165899,00:03:30.2362461
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Locomotion,11:49:40,00:00:07.2857966,00:03:37.5220427
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Pacing,11:49:47,00:00:21.5221479,00:03:59.0441906
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Inactive,11:50:08,00:00:15.5948764,00:04:14.6390670
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Locomotion,11:50:24,00:00:06.7314869,00:04:21.3705539
ta,r12002,Sunny,,2020-3-2,1.0.37.0,Pacing,11:50:31,00:00:41.8081137,00:05:03.1786676
