Focal Animal Recording
(c)Michael J. Renner

Observer:,JS
Study Code:,
Indiv ID:,rhav48
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-30
Behavior Time:,07:44 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/30/2018 19:45:19 PM
Coding Ended:,09/30/2018 19:50:21 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
JS,rhav48,Sunny,,2018-9-30,1.0.37.0,Inactive,07:45:19,00:03:54.0018212,00:03:54.0018212
JS,rhav48,Sunny,,2018-9-30,1.0.37.0,Self direct,07:49:13,00:00:06.1398026,00:04:00.1416238
JS,rhav48,Sunny,,2018-9-30,1.0.37.0,Inactive,07:49:19,00:01:01.0181837,00:05:01.1598075
