Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,R14089
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-11-12
Behavior Time:,11:23 AM
Ethogram:,Gen behavior .csv
Coding Began:,11/12/2018 11:24:52 AM
Coding Ended:,11/12/2018 11:30:00 AM
Session duration:,00:05:08
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R14089,Sunny,,2018-11-12,1.0.37.0,Inactive,11:24:52,00:02:40.7629480,00:02:40.7629480
Bnp,R14089,Sunny,,2018-11-12,1.0.37.0,Other,11:27:32,00:00:06.8691920,00:02:47.6321400
Bnp,R14089,Sunny,,2018-11-12,1.0.37.0,Inactive,11:27:39,00:00:27.4959564,00:03:15.1280964
Bnp,R14089,Sunny,,2018-11-12,1.0.37.0,Scratch,11:28:07,00:00:02.7144196,00:03:17.8425160
Bnp,R14089,Sunny,,2018-11-12,1.0.37.0,Inactive,11:28:09,00:00:23.3673750,00:03:41.2098910
Bnp,R14089,Sunny,,2018-11-12,1.0.37.0,Locomotion,11:28:33,00:00:07.8011323,00:03:49.0110233
Bnp,R14089,Sunny,,2018-11-12,1.0.37.0,Inactive,11:28:41,00:01:18.8132414,00:05:07.8242647
