Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,R14074
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-11-20
Behavior Time:,11:23 AM
Ethogram:,Gen behavior .csv
Coding Began:,11/20/2018 11:23:54 AM
Coding Ended:,11/20/2018 11:28:58 AM
Session duration:,00:05:04
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R14074,Sunny,,2018-11-20,1.0.37.0,Inactive,11:23:54,00:05:01.9791766,00:05:01.9791766
