Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,2020SAs
Indiv ID:,Rh2649
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-14
Behavior Time:,12:00 PM
Ethogram:,2020 sas.csv
Coding Began:,02/14/2020 12:01:21 PM
Coding Ended:,02/14/2020 12:06:31 PM
Session duration:,00:05:10
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Rh2649,Sunny,,2020-2-14,1.0.37.0,Inactive,12:01:21,00:05:01.3064305,00:05:01.3064305
