Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,R08007
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-4
Behavior Time:,11:29 AM
Ethogram:,Gen behavior .csv
Coding Began:,10/04/2018 11:31:00 AM
Coding Ended:,10/04/2018 11:36:02 AM
Session duration:,00:05:01
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R08007,Sunny,,2018-10-4,1.0.37.0,Present,11:31:00,00:00:15.0427504,00:00:15.0427504
Bnp,R08007,Sunny,,2018-10-4,1.0.37.0,Inactive,11:31:15,00:04:45.7345048,00:05:00.7772552
