Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,Sass
Indiv ID:,Rh2538
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-25
Behavior Time:,11:38 AM
Ethogram:,Gen behavior .csv
Coding Began:,09/25/2018 11:39:14 AM
Coding Ended:,09/25/2018 11:44:17 AM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Rh2538,Sunny,,2018-9-25,1.0.37.0,Inactive,11:39:14,00:00:04.5547517,00:00:04.5547517
Bnp,Rh2538,Sunny,,2018-9-25,1.0.37.0,Groom,11:39:19,00:04:56.7013295,00:05:01.2560812
