Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,
Indiv ID:,R0505
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2019-1-7
Behavior Time:,05:36 PM
Ethogram:,Gen behavior .csv
Coding Began:,01/07/2019 17:39:07 PM
Coding Ended:,01/07/2019 17:44:10 PM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R0505,Sunny,,2019-1-7,1.0.37.0,Inactive,05:39:07,00:02:29.6179519,00:02:29.6179519
Js,R0505,Sunny,,2019-1-7,1.0.37.0,Other,05:41:36,00:00:02.4713139,00:02:32.0892658
Js,R0505,Sunny,,2019-1-7,1.0.37.0,Inactive,05:41:39,00:00:21.2812741,00:02:53.3705399
Js,R0505,Sunny,,2019-1-7,1.0.37.0,Scratch,05:42:00,00:00:03.1698614,00:02:56.5404013
Js,R0505,Sunny,,2019-1-7,1.0.37.0,Inactive,05:42:03,00:01:18.0966929,00:04:14.6370942
Js,R0505,Sunny,,2019-1-7,1.0.37.0,Scratch,05:43:21,00:00:03.8006308,00:04:18.4377250
Js,R0505,Sunny,,2019-1-7,1.0.37.0,Inactive,05:43:25,00:00:42.5414004,00:05:00.9791254
