Focal Animal Recording
(c)Michael J. Renner

Observer:,MR
Study Code:,Sass
Indiv ID:,Cy0944
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-8-28
Behavior Time:,11:21 AM
Ethogram:,Gen behavior .csv
Coding Began:,08/28/2018 11:22:29 AM
Coding Ended:,08/28/2018 11:27:32 AM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
MR,Cy0944,Sunny,,2018-8-28,1.0.37.0,Inactive,11:22:29,00:00:12.9141021,00:00:12.9141021
MR,Cy0944,Sunny,,2018-8-28,1.0.37.0,Yawn,11:22:42,00:00:01.0344282,00:00:13.9485303
MR,Cy0944,Sunny,,2018-8-28,1.0.37.0,Inactive,11:22:43,00:00:04.2000755,00:00:18.1486058
MR,Cy0944,Sunny,,2018-8-28,1.0.37.0,Locomotion,11:22:47,00:00:06.3439565,00:00:24.4925623
MR,Cy0944,Sunny,,2018-8-28,1.0.37.0,Inactive,11:22:54,00:00:17.8112187,00:00:42.3037810
MR,Cy0944,Sunny,,2018-8-28,1.0.37.0,Yawn,11:23:11,00:00:01.0466838,00:00:43.3504648
MR,Cy0944,Sunny,,2018-8-28,1.0.37.0,Inactive,11:23:13,00:04:17.7920622,00:05:01.1425270
