Focal Animal Recording
(c)Michael J. Renner

Observer:,JS
Study Code:,
Indiv ID:,Rh2347
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-30
Behavior Time:,07:36 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/30/2018 19:39:03 PM
Coding Ended:,09/30/2018 19:44:06 PM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
JS,Rh2347,Sunny,,2018-9-30,1.0.37.0,Inactive,07:39:03,00:00:04.4169158,00:00:04.4169158
JS,Rh2347,Sunny,,2018-9-30,1.0.37.0,Threat,07:39:08,00:00:03.2383393,00:00:07.6552551
JS,Rh2347,Sunny,,2018-9-30,1.0.37.0,Inactive,07:39:11,00:04:53.6670564,00:05:01.3223115
