Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,
Indiv ID:,R10043
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-17
Behavior Time:,02:41 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/17/2018 14:42:58 PM
Coding Ended:,09/17/2018 14:48:00 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R10043,Sunny,,2018-9-17,1.0.37.0,Inactive,02:42:58,00:03:09.2381045,00:03:09.2381045
Bnp,R10043,Sunny,,2018-9-17,1.0.37.0,Scratch,02:46:07,00:00:00.5347325,00:03:09.7728370
Bnp,R10043,Sunny,,2018-9-17,1.0.37.0,Scratch,02:46:07,00:00:05.5144907,00:03:15.2873277
Bnp,R10043,Sunny,,2018-9-17,1.0.37.0,Inactive,02:46:13,00:01:45.2685347,00:05:00.5558624
