Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,
Indiv ID:,R98061
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-14
Behavior Time:,10:57 AM
Ethogram:,Gen behavior .csv
Coding Began:,09/14/2018 11:24:57 AM
Coding Ended:,09/14/2018 11:29:59 AM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R98061,Sunny,,2018-9-14,1.0.37.0,Inactive,11:24:57,00:05:01.0151848,00:05:01.0151848
