Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,sas
Indiv ID:,rh2497
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-3-11
Behavior Time:,10:41 AM
Ethogram:,2020 sas.csv
Coding Began:,03/11/2020 10:42:19 AM
Coding Ended:,03/11/2020 10:47:42 AM
Session duration:,00:05:23
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2497,Sunny,,2020-3-11,1.0.37.0,Inactive,10:42:19,00:00:07.8596014,00:00:07.8596014
ta,rh2497,Sunny,,2020-3-11,1.0.37.0,Locomotion,10:42:26,00:00:01.8800791,00:00:09.7396805
ta,rh2497,Sunny,,2020-3-11,1.0.37.0,Inactive,10:42:28,00:03:30.5392600,00:03:40.2789405
ta,rh2497,Sunny,,2020-3-11,1.0.37.0,Scratch,10:45:59,00:00:01.7466760,00:03:42.0256165
ta,rh2497,Sunny,,2020-3-11,1.0.37.0,Inactive,10:46:01,00:01:40.4011640,00:05:22.4267805
