Sheetname,ID,Date,Site,Obs,start time,End time,Ses Duration,Ethogram,Study code,Tot Duration,Ses Dur,Obs type,Housing,Room/cage,Unique Beh,Most frequent,Freq,Long Dura,Duration,Hi NBC beh Freq,NBC Freq,Hi NBC Beh Dur,NBC Dur,Inactive Frequency,Inactive Duration,Inactive Ave duration,Loco Frequency,Loco Duration,Loco Ave dur,Pacing Frequency,Pacing Duration,Pacing ave dur,Jumping Freq,Jumping Duration,Jumping ave dur,Selfbite Frequency,Selfbite Duration,Selfbite Ave Dur,Selfdirect Frequency,Selfdirect Duration,Selfdirect Ave Dur,Swing/spin/flip Frequency,Swing/spin/flip Duration,Swing/spin/flip Ave Dur,Headtoss Frequency,Headtoss Duration,Headtoss Ave Dur,Rock Frequency,Rock Duration,Rock Ave Dur,Salute Frequency,Salute Duration,Salute Ave Dur,Feargrimace Frequency,Feargrimace Duration,Feargrimace Ave Dur,Scratch Frequency,Scratch Duration,Scratch Ave Dur,Yawn Frequency,Yawn Duration,Yawn Ave Dur,Lipsmack Frequency,Lipsmack Duration,Lipsmack Ave Dur,Present Frequency,Present Duration,Present Ave Dur,Cling Frequency,Cling Duration,Cling Ave Dur,Mantleshake Frequency,Mantleshake Duration,Mantleshake Ave Dur,Vocal Frequency,Vocal Duration,Vocal Ave Dur,Threat/display Frequency,Threat/display Duration,Threat/display Ave Dur,Aggression Frequency,Aggression Duration,Aggression Ave Dur,Eat/drink Frequency,Eat/drink Duration,Eat/drink Ave Dur,Tactile/explore Frequency,Tactile/explore Duration,Tactile/explore Ave Dur,Social/play Frequency,Social/play Duration,Social/play Ave Dur,Groom Frequency,Groom Duration,Groom Ave Dur,SocGroom Frequency,SocGroom Duration,SocGroom Ave Dur,Sex/self/other Frequency,Sex/self/other Duration,Sex/self/other Ave Dur,Other Frequency,Other Duration,Other Ave Dur,Notes,SIB,Inactive 90%,Pacing 25%,Pacing 50%,Vocal 25%
10,2021 bass-r19019-2021-5-25-Js1201,r19019,2021-5-25,Blank Park Zoo,Js,05/25/2021 12:01:32 PM,05/25/2021 12:06:35 PM,00:05:02,2021 bass.csv,2021bass,00:05:01.0,00:05:02,Assessment,Pair,bmqh1c31,5,Inactive,39,Inactive,00:02:30.1,Inactive,39,Inactive,00:02:30.1,39,00:02:30.1,00:00:03.8,21,00:00:46.0,00:00:02.2,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,30,00:00:58.1,00:00:01.9,22,00:00:44.9,00:00:02.0,0,00:00:00.0,,0,00:00:00.0,,1,00:00:01.9108656,00:00:01.9108656,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
11,2021 bass-R05074-2021-5-18-BNP1158,R05074,2021-5-18,Other Site,BNP,05/18/2021 11:58:03 AM,05/18/2021 12:03:04 PM,00:05:01,2021 bass.csv,Bass2021,00:05:00.6,00:05:01,Assessment,Single,Ab165c3,3,Groom,2,Groom,00:04:11.1,Inactive,1,Inactive,00:00:44.4020447,1,00:00:44.4020447,00:00:44.4020447,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:05.0714717,00:00:05.0714717,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,2,00:04:11.1,00:02:05.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
12,2021 bass-r18011-2021-5-25-ta1053,r18011,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:53:45 AM,05/25/2021 10:59:01 AM,00:05:16,2021 bass.csv,bass,00:05:15.0,00:05:16,Assessment,Pair,a275c7,5,Inactive,2,Groom,00:01:47.8,Inactive,2,Inactive,00:01:13.2,2,00:01:13.2,00:00:36.6,1,00:00:01.3052026,00:00:01.3052026,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:56.9981944,00:00:56.9981944,2,00:01:47.8,00:00:53.9,1,00:01:15.6970887,00:01:15.6970887,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
13,2021 bass-R19007-2021-5-25-Js1155,R19007,2021-5-25,Blank Park Zoo,Js,05/25/2021 11:55:32 AM,05/25/2021 12:00:35 PM,00:05:03,2021 bass.csv,2021bass,00:05:01.5,00:05:03,Assessment,Pair,bmqh1c31,6,Inactive,31,Inactive,00:02:57.8,Inactive,31,Inactive,00:02:57.8,31,00:02:57.8,00:00:05.7,21,00:01:18.2,00:00:03.7,1,00:00:03.2262012,00:00:03.2262012,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,17,00:00:37.4,00:00:02.2,0,00:00:00.0,,1,00:00:02.8620530,00:00:02.8620530,1,00:00:02.0548299,00:00:02.0548299,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
14,2021 bass-r18022-2021-5-25-ta1031,r18022,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:31:09 AM,05/25/2021 10:36:13 AM,00:05:03,2021 bass.csv,bass,00:05:00.7,00:05:03,Assessment,Pair,a275c1,5,Inactive,4,Inactive,00:04:23.6,Inactive,4,Inactive,00:04:23.6,4,00:04:23.6,00:01:05.9,4,00:00:17.3,00:00:04.3,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:15.4145855,00:00:15.4145855,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:01.7372342,00:00:01.7372342,1,00:00:02.6769835,00:00:02.6769835,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
15,2021 bass-r18023-2021-5-25-mr1101,r18023,2021-5-25,Blank Park Zoo,mr,05/25/2021 11:01:41 AM,05/25/2021 11:06:49 AM,00:05:07,2021 bass.csv,2021 bass,00:05:05.2,00:05:07,Assessment,Pair,c436c23,6,Inactive,13,Inactive,00:02:02.2,Inactive,13,Inactive,00:02:02.2,13,00:02:02.2,00:00:09.4,8,00:01:50.9,00:00:13.9,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,4,00:00:25.2,00:00:06.3,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:09.4136506,00:00:09.4136506,2,00:00:10.9,00:00:05.4,1,00:00:26.5565707,00:00:26.5565707,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
16,2021 bass-cy0726-2021-5-25-ta1025,cy0726,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:25:29 AM,05/25/2021 10:30:44 AM,00:05:14,2021 bass.csv,bass,00:05:13.8,00:05:14,Assessment,Single,a275c4,4,Locomotion,2,Pacing,00:04:39.1,Locomotion,2,Pacing,00:04:39.1,1,00:00:06.4203243,00:00:06.4203243,2,00:00:14.6,00:00:07.3,2,00:04:39.1,00:02:19.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:13.6391812,00:00:13.6391812,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,Pacing,Pacing,not
17,2021 bass-cy0723-2021-5-25-ta1019,cy0723,2021-5-25,Blank Park Zoo,ta,05/25/2021 10:19:57 AM,05/25/2021 10:25:00 AM,00:05:02,2021 bass.csv,bass,00:05:01.0,00:05:02,Assessment,Single,a275c3,6,Inactive,6,Groom,00:02:17.9,Inactive,6,Inactive,00:02:15.5,6,00:02:15.5,00:00:22.6,4,00:00:22.1,00:00:05.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:02.2997169,00:00:02.2997169,1,00:00:02.3890871,00:00:02.3890871,0,00:00:00.0,,0,00:00:00.0,,1,00:00:00.7939528,00:00:00.7939528,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,4,00:02:17.9,00:00:34.5,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
18,2021 bass-rh2562-2021-5-25-ta1112,rh2562,2021-5-25,Blank Park Zoo,ta,05/25/2021 11:12:01 AM,05/25/2021 11:17:03 AM,00:05:02,2021 bass.csv,bass,00:05:00.9,00:05:02,Assessment,Single,a275c11,2,Inactive,3,Inactive,00:04:58.3,Inactive,3,Inactive,00:04:58.3,3,00:04:58.3,00:01:39.4,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,2,00:00:02.6,00:00:01.3,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,,not,Inactive,not,not,not
19,2021 bass-R08060-2021-5-20-BNP1111,R08060,2021-5-20,Other Site,BNP,05/20/2021 11:11:12 AM,05/20/2021 11:16:14 AM,00:05:01,2021 bass.csv,Bass2021,00:05:00.4,00:05:01,Assessment,Group,Ab144c1,4,Inactive,1,Inactive,00:03:53.8171065,Inactive,1,Inactive,00:03:53.8171065,1,00:03:53.8171065,00:03:53.8171065,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:00:01.5156553,00:00:01.5156553,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,0,00:00:00.0,,1,00:01:00.0446136,00:01:00.0446136,0,00:00:00.0,,1,00:00:04.9885714,00:00:04.9885714,0,00:00:00.0,,0,00:00:00.0,,,not,not,not,not,not
